TSTNO| VEHNO| IPNO| IPLOC| IPLOCD| IPCOM| IPCOMD| BIX| BIY| BIZ| AIX| AIY| AIZ| TSTREF 
2906|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2660|||2680|||MW0213
2912|1|2|D|Driver Side|TPB1D|Toepan point B1, driver side|3435|||3063|||MW0214
2912|1|3|D|Driver Side|TPC1D|Toepan point C1, driver side|3435|||3088|||MW0214
2912|1|4|D|Driver Side|TPD1D|Toepan point D1, driver side|3435|||3086|||MW0214
2912|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|3305|||3064|||MW0214
2912|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|3335|||3045|||MW0214
2912|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|3335|||3060|||MW0214
2912|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|3335|||3017|||MW0214
2912|1|10|D|Driver Side|TPB3D|Toepan point B3, driver side|3235|||3027|||MW0214
2912|1|11|D|Driver Side|TPC3D|Toepan point C3, driver side|3235|||3012|||MW0214
2912|1|12|D|Driver Side|TPD3D|Toepan point D3, driver side|3235|||3105|||MW0214
2912|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|3199|||2914|||MW0214
2912|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|2960|||2788|||MW0214
2912|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|2980|||2797|||MW0214
2912|1|24|C|Steering Column|SC|Steering column|2685|420|469|2657|392|431|MW0214
2912|1|25|D|Driver Side|SBD|Front outboard seat-attachment point, driver side|2665|||2600|||MW0214
2936|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|790|-970|-1000|CF97016
2936|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|750|-950|-1010|CF97016
2936|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|740|-950|-1020|CF97016
2936|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|820|-980|-1000|CF97016
2936|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|840|-1000|-1000|CF97016
2936|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|920|-990|-990|CF97016
2936|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|960|-1000|-970|CF97016
2936|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|980|-1010|-1010|CF97016
2937|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|900|-990|-1060|CF98001
2937|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|810|-980|-1050|CF98001
2937|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|790|-990|-1060|CF98001
2937|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|820|-1000|-1040|CF98001
2937|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|870|-1040|-1030|CF98001
2937|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|960|-1010|-1020|CF98001
2937|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|960|-1010|-1020|CF98001
2937|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|970|-1030|-1050|CF98001
2938|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|800|-1010|-940|CF97009
2938|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|740|-980|-1030|CF97009
2938|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|760|-990|-1020|CF97009
2938|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|800|-1000|-1010|CF97009
2938|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|810|-1040|-1030|CF97009
2938|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|910|-1000|-1010|CF97009
2938|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|930|-990|-990|CF97009
2938|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|920|-1040|-1060|CF97009
2940|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|690|-1010|-1140|CF97013
2940|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|630|-1000|-1040|CF97013
2940|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|640|-990|-1050|CF97013
2940|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|710|-1020|-1030|CF97013
2940|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|740|-990|-1050|CF97013
2940|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|850|-1000|-1050|CF97013
2940|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|880|-1000|-1010|CF97013
2940|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|920|-1050|-1090|CF97013
2941|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|790|-960|-1100|CF97017
2941|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|740|-940|-1050|CF97017
2941|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|740|-900|-1070|CF97017
2941|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|800|-980|-1010|CF97017
2941|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|800|-1000|-1040|CF97017
2941|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|930|-990|-1020|CF97017
2941|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|970|-990|-1010|CF97017
2941|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|1000|-1030|-1070|CF97017
2942|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|780|-990|-1080|CF97024
2942|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|700|-980|-1040|CF97024
2942|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|720|-990|-1040|CF97024
2942|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|780|-1000|-1020|CF97024
2942|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|800|-1010|-1030|CF97024
2942|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|890|-1010|-1010|CF97024
2942|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|920|-1010|-980|CF97024
2942|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|920|-1020|-1070|CF97024
2943|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|900|-920|-1060|CF98002
2943|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|840|-950|-1010|CF98002
2943|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|880|-950|-1030|CF98002
2943|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|890|-970|-1000|CF98002
2943|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|950|-980|-980|CF98002
2943|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|900|-970|-1000|CF98002
2943|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|910|-970|-1010|CF98002
2943|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|960|-980|-1050|CF98002
2944|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|970|-990|-1040|CF97026
2944|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|910|-960|-1040|CF97026
2944|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|950|-980|-1030|CF97026
2944|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|940|-990|-1020|CF97026
2944|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|930|-1010|-1030|CF97026
2944|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|980|-1000|-1020|CF97026
2944|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|970|-1000|-1010|CF97026
2944|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|980|-1010|-1030|CF97026
2945|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|770|-950|-1140|CF98006
2945|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|810|-980|-1000|CF98006
2945|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|820|-1010|-1000|CF98006
2945|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|850|-1020|-1000|CF98006
2945|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|850|-1000|-1020|CF98006
2945|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|900|-1000|-1030|CF98006
2945|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|920|-1000|-1040|CF98006
2945|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|930|-990|-1120|CF98006
2947|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|840|-990|-1080|CF97021
2947|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|710|-980|-1040|CF97021
2947|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|730|-1000|-1030|CF97021
2947|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|810|-1020|-1010|CF97021
2947|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|780|-1000|-1030|CF97021
2947|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|900|-1000|-980|CF97021
2947|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|940|-1010|-960|CF97021
2947|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|930|-1020|-1030|CF97021
2948|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|880|-980|-1040|CF97022
2948|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|800|-980|-1020|CF97022
2948|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|820|-980|-1030|CF97022
2948|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|860|-990|-1010|CF97022
2948|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|810|-1020|-1010|CF97022
2948|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|930|-990|-990|CF97022
2948|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|910|-1010|-1020|CF97022
2948|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|950|-1010|-1090|CF97022
2949|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|740|-960|-1060|CF98003
2949|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|740|-960|-1070|CF98003
2949|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|800|-1000|-1030|CF98003
2949|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|870|-1020|-1000|CF98003
2949|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|790|-1010|-990|CF98003
2949|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|920|-1020|-1000|CF98003
2949|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|910|-1020|-1020|CF98003
2949|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|950|-1030|-1060|CF98003
2950|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|920|-990|-1020|CF98010
2950|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|900|-980|-1020|CF98010
2950|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|930|-1010|-1000|CF98010
2950|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|970|-990|-990|CF98010
2950|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|930|-1000|-980|CF98010
2950|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|980|-990|-990|CF98010
2950|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|990|-990|-990|CF98010
2950|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|1020|-1000|-1010|CF98010
2951|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|730|-1030|-1160|CF97019
2951|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|680|-1030|-1040|CF97019
2951|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|700|-1030|-1040|CF97019
2951|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|770|-1040|-1040|CF97019
2951|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|720|-1020|-1100|CF97019
2951|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|820|-960|-1030|CF97019
2951|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|850|-970|-980|CF97019
2951|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|830|-900|-990|CF97019
2952|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|730|-1000|-1120|CF97018
2952|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|660|-980|-1090|CF97018
2952|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|700|-990|-1090|CF97018
2952|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|800|-1020|-1070|CF97018
2952|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|770|-1000|-1110|CF97018
2952|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|900|-1000|-1030|CF97018
2952|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|920|-1010|-1030|CF97018
2952|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|920|-1060|-1060|CF97018
2953|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|810|-900|-960|CF98007
2953|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|830|-920|-940|CF98007
2953|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|790|-940|-960|CF98007
2953|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|850|-950|-940|CF98007
2953|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|840|-950|-980|CF98007
2953|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|930|-980|-1000|CF98007
2953|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|920|-980|-1000|CF98007
2953|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|980|-1010|-1040|CF98007
2954|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|860|-1000|-1060|CF97015
2954|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|780|-980|-1030|CF97015
2954|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|800|-990|-1030|CF97015
2954|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|850|-1010|-1030|CF97015
2954|1|21|D|Driver Side|GCBP|Geometric center of brake pedal, driver side|1000|-1000|-1000|860|-960|-980|CF97015
2954|1|22|D|Driver Side|UIPLD|Upper IP left knee, driver side|1000|-1000|-1000|840|-980|-1020|CF97015
2954|1|23|D|Driver Side|UIPRD|Upper IP right knee ,driver side|1000|-1000|-1000|880|-980|-990|CF97015
2954|1|24|C|Steering Column|SC|Steering column|1000|-1000|-1000|860|-1000|-1010|CF97015
2955|1|5|D|Driver Side|TPA2D|Toepan point A2, driver side|1000|-1000|-1000|700|-1010|-1060|CF98004
2955|1|6|D|Driver Side|TPB2D|Toepan point B2, driver side|1000|-1000|-1000|710|-1020|-1000|CF98004
2955|1|7|D|Driver Side|TPC2D|Toepan point C2, driver side|1000|-1000|-1000|740|-1050|-980|CF98004
2955|1|8|D|Driver Side|TPD2D|Toepan point D2, driver side|1000|-1000|-1000|790|-1040|-980|CF98004
