TSTNO| BARRIG| BARRIGD| BARSHP| BARSHPD| BARANG| BARDIA| BARCOM 
415|R|RIGID|FLB|FLAT BARRIER|0|0|36-CELL LOAD-MEASURING
416|R|RIGID|FLB|FLAT BARRIER|0|0|36-CELL LOAD-MEASURING
418|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
422|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
423|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
425|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
426|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
427|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
428|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
429|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
430|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
432|D|DEFORMABLE|LUM|LUMINARE|0|218|SURROGATE BREAKAWAY LUMINAIRE SUPPORT DESIGNED BY ENSCO FOR RESEARCH
435|R|RIGID|LCB|LOAD CELL BARRIER|0|0|FIXED SEGMENTED LOAD CELL BARRIER
436|R|RIGID|LCB|LOAD CELL BARRIER|0|0|FIXED SEGMENTED LOAD CELL BARRIER
437|R|RIGID|LCB|LOAD CELL BARRIER|0|0|FIXED SEGMENTED LOAD CELL BARRIER
438|R|RIGID|LCB|LOAD CELL BARRIER|0|0|FIXED SEGMENTED LOAD CELL BARRIER
441|D|DEFORMABLE|LUM|LUMINARE|0|218|SURROGATE BREAKAWAY LUMINAIRE SUPPORT DESIGNED BY ENSCO FOR RESEARCH
442|D|DEFORMABLE|LUM|LUMINARE|0|218|SURROGATE BREAKAWAY LUMINAIRE SUPPORT DESIGNED BY ENSCO FOR RESEARCH
444|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
445|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
446|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
448|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
449|R|RIGID|POL|POLE|0|203|RIGID POLE WITH TWO LOAD CELL SUPPORTS
450|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
451|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
452|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
453|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
454|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
455|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
457|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
458|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
459|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
460|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
461|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
462|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
463|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
464|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
465|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
466|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
467|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
468|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
469|D|DEFORMABLE|LUM|LUMINARE|0|218|SURROGATE BREAKAWAY LUMINAIRE SUPPORT DESIGNED BY ENSCO FOR RESEARCH
470|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
471|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
473|R|RIGID|POL|POLE|0|203|NO COMMENTS
474|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
475|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
476|R|RIGID|POL|POLE|0|203|NO COMMENTS
477|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
479|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
480|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
481|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
482|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
483|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
484|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
486|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
492|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
494|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
495|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
496|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
497|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
498|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
499|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
500|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
501|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
502|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
503|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
504|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
505|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
506|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
507|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
508|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
509|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
510|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
514|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
515|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
517|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
518|R|RIGID|POL|POLE|0|203|NO COMMENTS
522|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
523|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
525|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
526|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
527|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
528|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
543|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
544|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
545|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
550|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
551|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
552|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
563|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
566|D|DEFORMABLE|GRL|GUARD RAIL|0|0|NO COMMENTS
567|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
568|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
569|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
573|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
574|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
575|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
576|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
579|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
580|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
583|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
584|D|DEFORMABLE|GRL|GUARD RAIL|69|0|NO COMMENTS
586|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
587|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
588|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
589|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
593|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
594|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
598|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
599|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
600|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
601|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
602|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
605|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
606|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
607|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
609|R|RIGID|LCB|LOAD CELL BARRIER|0||NO COMMENTS
610|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
612|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
613|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
614|R|RIGID|POL|POLE|0|203|NO COMMENTS
617|R|RIGID|MBR|MEDIAN BARRIER|75|0|NO COMMENTS
618|D|DEFORMABLE|GRL|GUARD RAIL|68|0|NO COMMENTS
619|D|DEFORMABLE|GRL|GUARD RAIL|66|0|NO COMMENTS
620|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
624|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
625|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
632|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
633|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
644|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
646|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
647|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
648|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
649|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
650|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
651|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
652|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
653|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
654|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
655|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
656|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
657|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
658|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
659|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
660|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
661|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
662|R|RIGID|POL|POLE|0|203|NO COMMENTS
663|R|RIGID|POL|POLE|0|203|NO COMMENTS
664|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
665|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
666|R|RIGID|POL|POLE|0|305|NO COMMENTS
667|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
668|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
669|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
670|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
671|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
672|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
673|R|RIGID|FLB|FLAT BARRIER|0|0|NO COMMENTS
674|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
680|R|RIGID|POL|POLE|0|356|NO COMMENTS
681|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
682|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
685|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
686|R|RIGID|LCB|LOAD CELL BARRIER|0|0|NO COMMENTS
